Country,Delegates,Code,CO2,Legs
Albania,14,ALB,6.9132,2
Algeria,14,DZA,18.382,3
Andorra,8,AND,9.0224,2
Angola,71,AGO,80.4998,3
Antigua and Barbuda,26,ATG,49.686,2
Argentina,93,ARG,189.441,2
Armenia,24,ARM,15.0984,3
Australia,75,AUS,202.14,4
Austria,35,AUT,13.475,2
Azerbaijan,9,AZE,6.5223,3
Bahamas,10,BHS,17.667,3
Bahrain,33,BHR,40.9794,2
Bangladesh,242,BGD,559.5766,2
Barbados,13,BRB,23.608,2
Belarus,7,BLR,5.0974,3
Belgium,50,BEL,13.58,2
Belize,30,BLZ,58.866,4
Benin,60,BEN,54.876,3
Bhutan,28,BTN,54.0624,3
Bolivia,25,BOL,57.6175,4
Bosnia and Herzegovina,15,BIH,20.286,3
Botswana,19,BWA,45.3454,3
Brazil,407,BRA,863.5319,3
Brunei Darussalam,11,BRN,19.2632,2
Bulgaria,8,BGR,3.9952,2
Burkina Faso,72,BFA,115.9416,3
Burundi,12,BDI,19.2168,3
Cape Verde,18,CPV,16.4124,3
Cambodia,26,KHM,49.2414,3
Cameroon,34,CMR,79.6824,3
Canada,211,CAN,156.0134,3
Central African Republic,30,CAF,47.28,2
Chad,60,TCD,149.934,4
Chile,53,CHL,178.2761,3
China,42,CHN,39.312,3
Colombia,98,COL,109.2308,3
Comoros,13,COM,23.7653,4
Congo,61,COG,450.3158,4
Cook Islands,1,COK,3.778,4
Costa Rica,30,CRI,59.628,3
Côte d'Ivoire,111,CIV,157.3314,2
Croatia,16,HRV,6.4736,2
Cuba,7,CUB,14.5222,3
Cyprus,7,CYP,7.5992,2
Czechia,48,CZE,18.1728,2
Democratic Republic of the Congo,158,COD,275.078,2
Denmark,112,DNK,40.3648,2
Djibouti,6,DJI,8.6532,3
Dominica,7,DMA,14.0434,3
Dominican Republic,61,DOM,117.6202,3
Ecuador,34,ECU,64.209,3
Egypt,94,EGY,104.7912,2
El Salvador,6,SLV,11.802,3
Equatorial Guinea,1,GNQ,1.0438,3
Eritrea,2,ERI,3.4808,2
Estonia,20,EST,11.836,3
Eswatini,28,SWZ,75.0792,3
Ethiopia,37,ETH,46.9678,2
Fiji,35,FJI,118.6535,4
Finland,43,FIN,38.3474,3
France,172,FRA,35.3632,1
Gabon,71,GAB,126.948,3
Gambia,94,GMB,116.466,2
Georgia,31,GEO,19.5331,3
Germany,115,DEU,40.733,2
Ghana,223,GHA,331.2888,2
Greece,22,GRC,11.8536,2
Grenada,13,GRD,25.1173,3
