,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day,id_x,ident,type,name_x,latitude_deg,longitude_deg,elevation_ft,continent_x,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link_x,keywords_x,id_y,code,name_y,continent_y,wikipedia_link_y,keywords_y
0,0,2021-10-17 09:39:17+00:00,2021-10-17 12:45:24+00:00,407567,EZY96EM,LEMG,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4020.0,LEMG,large_airport,Málaga-Costa del Sol Airport,36.6749,-4.49911,53.0,EU,ES,ES-AN,Málaga,yes,LEMG,AGP,,https://www.aena.es/en/malaga-costa-del-sol.html,https://en.wikipedia.org/wiki/M%C3%A1laga_Airport,"Costa del Sol,Malaga",302684,ES,Spain,EU,https://en.wikipedia.org/wiki/Spain,Aeropuertos de España
1,1,2021-10-17 10:27:12+00:00,2021-10-17 13:19:21+00:00,407177,EXS8HQ,LEAL,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),17,3997.0,LEAL,large_airport,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,142.0,EU,ES,ES-V,Alicante,yes,LEAL,ALC,,https://www.aena.es/en/alicante-elche.html,https://en.wikipedia.org/wiki/Alicante_Airport,,302684,ES,Spain,EU,https://en.wikipedia.org/wiki/Spain,Aeropuertos de España
2,2,2021-10-17 12:23:38+00:00,2021-10-17 13:22:08+00:00,4063de,SHT6R,EGLL,EGPF,G-EUYJ,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4464,,L2J,,SPEEDBIRD,BAW,,British Airways,,2010-10-28,,,2010-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17,2434.0,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
3,3,2021-10-17 12:46:14+00:00,2021-10-17 13:35:59+00:00,400dc2,GMA03,,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,17,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
4,4,2021-10-17 13:01:09+00:00,2021-10-17 13:38:37+00:00,4ca61d,RYR5774,EIDW,EGPF,EI-DWP,BOEING,The Boeing Company,BOEING 737-8AS,B738,36082,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2007-11-21,,,2007-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,17,2533.0,EIDW,large_airport,Dublin Airport,53.421299,-6.27007,242.0,EU,IE,IE-D,Dublin,yes,EIDW,DUB,,http://www.dublinairport.com/,https://en.wikipedia.org/wiki/Dublin_Airport,Aerfort Bhaile Átha Cliath,302694,IE,Ireland,EU,https://en.wikipedia.org/wiki/Ireland,Eire
5,5,2021-10-17 10:56:10+00:00,2021-10-17 13:44:19+00:00,4070ec,EXS96XU,LEIB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4013.0,LEIB,large_airport,Ibiza Airport,38.872898,1.37312,24.0,EU,ES,ES-PM,Ibiza,yes,LEIB,IBZ,,https://www.aena.es/en/ibiza.html,https://en.wikipedia.org/wiki/Ibiza_Airport,,302684,ES,Spain,EU,https://en.wikipedia.org/wiki/Spain,Aeropuertos de España
6,6,2021-10-17 10:48:40+00:00,2021-10-17 13:48:17+00:00,407719,EDC311,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
7,7,2021-10-17 10:39:00+00:00,2021-10-17 13:50:42+00:00,406ae9,TOM25T,,EGPF,G-TAWU,BOEING,Boeing Company,BOEING 737-8K5,B738,37263,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-04-22,,,2014-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,17,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
8,8,2021-10-17 10:40:10+00:00,2021-10-17 13:53:33+00:00,40717c,EXS3CN,LPFR,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4448.0,LPFR,large_airport,Faro Airport,37.0144004822,-7.96590995789,24.0,EU,PT,PT-08,Faro,yes,LPFR,FAO,,http://www.ana.pt/en-US/Aeroportos/algarve/Faro/Pages/HomeFaro.aspx,https://en.wikipedia.org/wiki/Faro_Airport_(Portugal),,302711,PT,Portugal,EU,https://en.wikipedia.org/wiki/Portugal,Aeroportos do Brasil
9,9,2021-10-17 13:08:33+00:00,2021-10-17 14:04:48+00:00,406319,EZY734Q,EGGW,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2419.0,EGGW,large_airport,London Luton Airport,51.874698638916016,-0.3683330118656158,526.0,EU,GB,GB-ENG,London,yes,EGGW,LTN,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/London_Luton_Airport,LON,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
