,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
0,0,2021-10-17 09:39:17+00:00,2021-10-17 12:45:24+00:00,407567,EZY96EM,LEMG,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
1,1,2021-10-17 10:27:12+00:00,2021-10-17 13:19:21+00:00,407177,EXS8HQ,LEAL,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),17
2,2,2021-10-17 12:23:38+00:00,2021-10-17 13:22:08+00:00,4063de,SHT6R,EGLL,EGPF,G-EUYJ,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4464,,L2J,,SPEEDBIRD,BAW,,British Airways,,2010-10-28,,,2010-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
3,3,2021-10-17 12:46:14+00:00,2021-10-17 13:35:59+00:00,400dc2,GMA03,,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,17
4,4,2021-10-17 13:01:09+00:00,2021-10-17 13:38:37+00:00,4ca61d,RYR5774,EIDW,EGPF,EI-DWP,BOEING,The Boeing Company,BOEING 737-8AS,B738,36082,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2007-11-21,,,2007-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,17
5,5,2021-10-17 10:56:10+00:00,2021-10-17 13:44:19+00:00,4070ec,EXS96XU,LEIB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
6,6,2021-10-17 10:48:40+00:00,2021-10-17 13:48:17+00:00,407719,EDC311,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
7,7,2021-10-17 10:39:00+00:00,2021-10-17 13:50:42+00:00,406ae9,TOM25T,,EGPF,G-TAWU,BOEING,Boeing Company,BOEING 737-8K5,B738,37263,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-04-22,,,2014-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,17
8,8,2021-10-17 10:40:10+00:00,2021-10-17 13:53:33+00:00,40717c,EXS3CN,LPFR,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
9,9,2021-10-17 13:08:33+00:00,2021-10-17 14:04:48+00:00,406319,EZY734Q,EGGW,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
